Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1017 + epoch_ + 10, 0.36921024966053984, 0.3439958685305219, 1.016925121426503, 0.5767104132058548, 89.40628637951106, 89.57328385899814, 73.22611163670766, 84.0685606250723, 97.7105161039969, 98.21892393320965, 91.05960264900662, 95.66301422873772
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 10, 0.2971005669572395, 0.3156839042514671, 0.46713114582616383, 0.3599718723449568, 90.18238261544431, 91.31725417439704, 82.26111636707664, 87.920251052306, 98.21497865735351, 99.14656771799629, 96.31031220435194, 97.89061952656725
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 20, 0.30091991775042043, 0.2993977477273776, 0.681519557279673, 0.42727907425249034, 89.09584788513776, 92.20779220779221, 81.17313150425733, 87.49225719906242, 98.17617384555685, 99.48051948051948, 95.74266792809838, 97.79978708472491
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 30, 0.2853514606093756, 0.29202202536681554, 0.4492620504733207, 0.34221184548317063, 90.49282110981763, 92.46753246753246, 81.22043519394512, 88.06026292376505, 97.7105161039969, 99.44341372912801, 96.87795648060549, 98.01062877124347
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 40, 0.2908102127175605, 0.29327344414517575, 0.44933364622607647, 0.34447243436293756, 90.02716336825767, 92.76437847866418, 81.3623462630085, 88.05129603664345, 98.40900271633683, 99.62894248608535, 97.01986754966887, 98.35260425069703
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 50, 0.25249083055360255, 0.28461651622862555, 0.46001322582565096, 0.33237352420262634, 90.6092355452076, 93.43228200371058, 83.34910122989592, 89.13020625960469, 98.4478075281335, 99.44341372912801, 96.92526017029329, 98.27216047585159
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 60, 0.2512237860507818, 0.2869930921087254, 0.510094807635075, 0.3494372285981941, 90.14357780364766, 93.02411873840445, 82.11920529801324, 88.42896728002178, 98.71944121071013, 99.25788497217069, 96.73604541154211, 98.23779053147432
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 70, 0.25881602050340796, 0.279649757993924, 0.5331675095793124, 0.35721109602554807, 90.53162592161428, 93.35807050092765, 82.5449385052034, 88.81154497591511, 98.21497865735351, 99.5547309833024, 97.25638599810786, 98.34203187958792
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 80, 0.2522465405171381, 0.2909408468009734, 0.4822339168140668, 0.34180710137739273, 89.79433449747769, 92.80148423005566, 81.07852412488174, 87.89144761747168, 98.60302677532013, 99.5547309833024, 96.97256385998108, 98.37677387286787
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 90, 0.2638387531732589, 0.28140735350959356, 0.4437717124415091, 0.3296726063747872, 90.2987970508343, 93.5064935064935, 83.53831598864711, 89.11453551532497, 98.09856422196353, 99.22077922077922, 97.39829706717124, 98.23921350330467
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 100, 0.26060066313786145, 0.2881057719771669, 0.4608568459400762, 0.33652109368503486, 90.64804035700426, 92.76437847866418, 84.15326395458845, 89.18856093008564, 97.47768723321691, 99.14656771799629, 97.11447492904448, 97.91290996008588
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 110, 0.28384359100677986, 0.28625462703453985, 0.468173344412232, 0.3460905208178506, 89.75552968568103, 92.76437847866418, 83.96404919583728, 88.8279857867275, 97.51649204501358, 99.29499072356215, 96.97256385998108, 97.92801554285226
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 120, 0.2531374811708463, 0.27236935963798375, 0.4474764814740527, 0.32432777409429425, 89.988358556461, 94.28571428571428, 83.6802270577105, 89.3180999666286, 97.74932091579356, 99.77736549165121, 96.97256385998108, 98.16641675580861
Indoor_MinkUNeXt_pos_per_query12batch_size512_truncated_augonly_best_effects0.5pos0.7neg0.7voxel_size0.05height-0.25_20250305_1101 + epoch_ + 130, 0.2325279190033176, 0.28300552113116, 0.4672114953459844, 0.327581645160154, 90.95847885137756, 93.17254174397031, 83.34910122989592, 89.1600406084146, 97.63290648040356, 99.51762523191094, 97.20908230842007, 98.11987134024486
