use_magnitude_anglexy
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 1, 89.32867675591774, 91.7996289424861, 78.85525070955535, 82.7191235059761, 86.81135225375625, 76.6896551724138, 72.79549718574108, 86.48325358851675, 78.85057471264368, 81.88073394495413, 82.6213746771961, 97.51649204501358, 98.9239332096475, 94.37086092715232, 91.03585657370517, 94.21257651641625, 98.80459770114942, 93.38649155722327, 98.80382775119617, 93.5632183908046, 96.44495412844036, 95.70628088007487
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 10, 92.00620876988746, 94.73098330241187, 87.9848628192999, 83.81474103585657, 90.03895381190874, 78.66666666666666, 73.87429643527204, 90.9090909090909, 80.22988505747126, 85.3211009174312, 85.75767897252966, 98.56422196352348, 99.85157699443413, 97.82403027436139, 91.9820717131474, 96.77239844184753, 98.62068965517241, 95.91932457786116, 99.28229665071771, 93.79310344827586, 98.96788990825688, 97.15776036275979
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 20, 92.66589057043073, 94.87940630797773, 88.26868495742669, 84.16334661354583, 87.590428491931, 79.35632183908045, 73.68667917448406, 91.86602870813397, 81.49425287356323, 86.23853211009175, 86.02095716466656, 98.3313930927435, 99.77736549165121, 97.54020813623463, 92.0816733067729, 96.4941569282137, 98.80459770114942, 95.87242026266416, 99.64114832535886, 95.40229885057471, 98.5091743119266, 97.24544364072895
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 30, 93.28676755917733, 95.65862708719851, 88.45789971617786, 84.36254980079681, 90.20589872008904, 78.62068965517241, 73.21763602251407, 90.78947368421053, 77.47126436781609, 87.04128440366972, 85.91120910168223, 98.56422196352348, 99.59183673469387, 97.8713339640492, 92.72908366533864, 96.8280467445743, 98.4367816091954, 94.8874296435272, 99.4019138755981, 91.95402298850574, 98.96788990825688, 96.92325610972628
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 40, 92.74350019402407, 95.2504638218924, 89.0728476821192, 85.20916334661355, 89.20422927100724, 78.66666666666666, 73.31144465290807, 92.46411483253588, 80.91954022988506, 87.5, 86.43419706976522, 99.14629414047343, 99.66604823747682, 97.7767265846736, 92.92828685258964, 97.38452977184195, 98.75862068965517, 95.68480300187618, 99.4019138755981, 94.59770114942529, 98.62385321100918, 97.39687775146191
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 50, 93.83003492433062, 95.17625231910947, 88.97824030274361, 85.55776892430279, 91.54145798553144, 78.16091954022988, 72.46716697936209, 90.9090909090909, 79.54022988505747, 87.38532110091744, 86.35464828706756, 98.9522700814901, 99.70315398886828, 97.918637653737, 92.92828685258964, 97.77406789092933, 98.57471264367817, 94.8874296435272, 99.52153110047847, 93.33333333333333, 99.42660550458714, 97.30200286932185
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 60, 93.40318199456733, 94.8051948051948, 89.68779564806056, 84.56175298804781, 89.5937673900946, 77.37931034482759, 73.68667917448406, 90.311004784689, 79.88505747126436, 86.0091743119266, 85.93229189131567, 98.40900271633683, 99.8886827458256, 97.7767265846736, 92.87848605577689, 96.54980523094045, 98.71264367816092, 93.94934333958724, 99.4019138755981, 93.33333333333333, 98.5091743119266, 96.94091118721596
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 70, 93.48079161816065, 95.76994434137292, 90.53926206244087, 84.9601593625498, 90.70673344462993, 78.20689655172414, 74.06191369606003, 91.26794258373205, 81.14942528735632, 86.0091743119266, 86.61522432599534, 99.14629414047343, 99.85157699443413, 98.10785241248817, 92.1812749003984, 97.44017807456873, 98.48275862068967, 96.15384615384616, 99.76076555023924, 94.02298850574712, 98.96788990825688, 97.4115425261142
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 80, 92.66589057043073, 95.28756957328386, 89.78240302743615, 84.36254980079681, 90.20589872008904, 78.80459770114942, 73.07692307692307, 92.58373205741627, 79.3103448275862, 85.3211009174312, 86.14010102725427, 98.91346526969345, 99.74025974025975, 98.01324503311258, 92.72908366533864, 96.8280467445743, 98.85057471264368, 95.26266416510319, 99.76076555023924, 93.79310344827586, 99.19724770642202, 97.30884560356625
Indoor_MinkUNeXt_pos_per_query16batch_size512_truncated_aug6depths0.4pos0.4neg0.4voxel_size0.05height-0.25_20250408_0112 + epoch_ + 90, 92.7046953822274, 95.39888682745826, 90.39735099337747, 85.2589641434263, 90.31719532554257, 78.98850574712644, 72.74859287054409, 91.26794258373205, 79.77011494252874, 85.6651376146789, 86.25173864306421, 98.37019790454016, 99.62894248608535, 97.8713339640492, 93.07768924302789, 97.32888146911519, 98.75862068965517, 95.26266416510319, 99.28229665071771, 93.33333333333333, 98.73853211009175, 97.1652492015719
